SO FAMCHA010601043000043011000011Sign On (oct 1)                                                                                                         02                                     
PROFAMCHA010601043011043019000008CC Is Brought To You By - Ian                                                                                           02  150                                
PGRFAMCHA010601043019045419002400Hello Mrs. Cherrywinkle                           Can't Stop Dancing                                            B18883A1025607ACC                              
PROFAMCHA010601045419045427000008CC Was Brought To You By - Ian                                                                                          02  150                                
ID FAMCHA010601045427045432000005Generic ID - Marbles                                                                                                    02  150                                
PRCFAMCHA010601045432045440000008Franklin Bumper - Slide - This Morning @ 7am                                                                           102  150                                
ID FAMCHA010601045440045500000020Morning block open play pen                                                                                             02  150                                
PROFAMCHA010601045500045508000008CC Is Brought To You By - Lark                                                                                          02  150                                
PGRFAMCHA010601045508051918002410Busy World Of Richard Scarry; The                 Mr. Raccoon's Different Day/Mario, The Venetian               P17880 1025607ECC                              
PROFAMCHA010601051918051926000008CC Was Brought To You By - Lark                                                                                         02  150                                
ID FAMCHA010601051926051931000005Generic ID - Bubbles                                                                                                    02  150                                
PROFAMCHA010601051931051940000009House of Mouse Bumpers - No TV - Tomorrow Afternoo                                                                      02  150                                
ID FAMCHA010601051940052000000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010601052000052008000008CC Is Brought To You By - Ian                                                                                           06  150                                
PGRFAMCHA010601052008054331002323Billy The Cat                                     The Pigeon That Fell To The Earth                             B27659A1025607ECC                              
PROFAMCHA010601054331054339000008CC Was Brought To You By - Ian                                                                                          06  150                                
ID FAMCHA010601054339054354000015Generic ID - confetti                                                                                                   02  150                                
PRCFAMCHA010601054354054430000036Goof Troop (MARCH2001) - Weekends @ 4pm                                                                                 02  150                                
PRCFAMCHA010601054430054440000010Morning Block menu background (flex time)                                                                               02  150                                
ID FAMCHA010601054440054500000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010601054500054508000008CC Is Brought To You By - Lark                                                                                          06  150                                
PGRFAMCHA010601054508061128002620Little Lulu Show; The                             Friends & Enemies/The Beauty Contest/Rich Little P            P22335A1025607ECC                              
PROFAMCHA010601061128061136000008CC Was Brought To You By - Lark                                                                                         06  150                                
ID FAMCHA010601061136061141000005Generic ID - Couch 2                                                                                                    02  150                                
PROFAMCHA010601061141061149000008CC Is Brought To You By - Ian                                                                                           06  150                                
PGRFAMCHA010601061149063549002400Big Garage; The                                   The Mix-Up                                                    P21454 1025607ECC                              
PROFAMCHA010601063549063557000008CC Was Brought To You By - Ian                                                                                          06  150                                
ID FAMCHA010601063557063602000005Generic ID - Couch 1                                                                                                    02  150                                
PGRFAMCHA010601063602070006002404Clarissa                                          A New Morn                                                           2028607B                                
ID FAMCHA010601070006070011000005Generic ID - Couch 2                                                                                                    06  150                                
PROFAMCHA010601070011070019000008CC Is Brought To You By - Lark                                                                                          06  150                                
PGRFAMCHA010601070019072312002253Franklin                                          Franklin's Canoe Trip/Interview                                     A1025607ECC                              
PROFAMCHA010601072312072320000008CC Was Brought To You By - Lark                                                                                         06  150                                
ID FAMCHA010601072320072330000010Generic ID - Family w/dog                                                                                               02  150                                
PROFAMCHA010601072330072428000058Enter Elmo's World Contest                                                                                             102  150                                
PROFAMCHA010601072428072458000030New Adventures of WTP (MARCH2001) - Coming Up                                                                           02  150                                
PRCFAMCHA010601072458072505000007Book of Pooh Bumper - Gang - This Morning                                                                              102  150                                
INTFAMCHA010601072505072929000424Art Attack - Bowler                                                                                                    60286120                                
PRCFAMCHA010601072929072940000011Elmo's World Bumper - Tricycle - This Morning                                                                          102  150                                
PRCFAMCHA010601072940072950000010Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010601072950073000000010Magic of Disney - V2(sky) - KID FEMALE                                                                                  02  150                                
PROFAMCHA010601073000073008000008CC Is Brought To You By - Ian                                                                                           06  150                                
PGRFAMCHA010601073008075245002237New Adventures of Winnie the Pooh; The            A Pooh Day Afternoon                                                 6028607ECC                              
PROFAMCHA010601075245075253000008CC Was Brought To You By - Ian                                                                                          06  150                                
ID FAMCHA010601075253075308000015Generic ID - confetti                                                                                                   06  150                                
PROFAMCHA010601075308075406000058Enter Elmo's World Contest                                                                                             106  150                                
PROFAMCHA010601075406075415000009PB&J Bumpers - Open - This Morning                                                                                      02  150                                
INTFAMCHA010601075415075914000459Art Attack - Bride & Groom                                                                                             60286120                                
