SO FAMCHA010401043000043011000011Sign On (oct 1)                                                                                                         06                                     
PROFAMCHA010401043011043019000008CC Is Brought To You By - Ian **DNU AFTER 09/22**                                                                       06  150                                
PGRFAMCHA010401043019045419002400Hello Mrs. Cherrywinkle                           Why, Oh Why, Oh Why                                           C14683A1065607ACC                              
PROFAMCHA010401045419045427000008CC Was Brought To You By - Ian                                                                                          06  150                                
ID FAMCHA010401045427045432000005Generic ID - Couch 1*                                                                                                   06  150                                
ID FAMCHA010401045432045439000007URL(1) - FUNSTUFF                                                                                                       06  150                                
ID FAMCHA010401045439045500000021Prime time open count down                                                                                              06  150                                
PROFAMCHA010401045500045508000008CC Is Brought To You By - Lark **DNU AFTER 09/22**                                                                      06  150                                
PGRFAMCHA010401045508051918002410Busy World Of Richard Scarry; The                 Has Anyone Seen My Book?                                      P24310A1165607ECC                              
PROFAMCHA010401051918051926000008CC Was Brought To You By - Lark                                                                                         06  150                                
ID FAMCHA010401051926051931000005Generic ID - Bubbles*                                                                                                   06  150                                
ID FAMCHA010401051931051939000008URL(1) - NEWSLETTER                                                                                                     06  150                                
ID FAMCHA010401051939052000000021Prime time open count down                                                                                              06  150                                
PROFAMCHA010401052000052008000008CC Is Brought To You By - Ian **DNU AFTER 09/22**                                                                       06  150                                
PGRFAMCHA010401052008054430002422Billy The Cat                                     Cool Cat                                                      B27650A1065607ECC                              
PROFAMCHA010401054430054438000008CC Was Brought To You By - Ian                                                                                          06  150                                
ID FAMCHA010401054438054443000005Generic ID - Couch 2*                                                                                                   06  150                                
ID FAMCHA010401054443054504000021Prime time open count down                                                                                              06  150                                
PROFAMCHA010401054504054512000008CC Is Brought To You By - Lark **DNU AFTER 09/22**                                                                      06  150                                
PGRFAMCHA010401054512061132002620Little Lulu Show; The                             Business Girl/The Pet Duck/Lulu's Umbrella Service            P22334A1065607ECC                              
PROFAMCHA010401061132061140000008CC Was Brought To You By - Lark                                                                                         06  150                                
ID FAMCHA010401061140061145000005Generic ID - Marbles                                                                                                    06  150                                
PROFAMCHA010401061145061153000008CC Is Brought To You By - Ian **DNU AFTER 09/22**                                                                       06  150                                
PGRFAMCHA010401061153063553002400Big Garage; The                                   The Heat Wave                                                 P21470 1065607ECC                              
PROFAMCHA010401063553063601000008CC Was Brought To You By - Ian                                                                                          06  150                                
ID FAMCHA010401063601063606000005Generic ID - Couch 1*                                                                                                   06  150                                
PROFAMCHA010401063606063614000008CC Is Brought To You By - Lark **DNU AFTER 09/22**                                                                      06  150                                
PGRFAMCHA010401063614065915002301Madeline                                          Madeline on the Orient Express                                       6068607ECC                              
PROFAMCHA010401065915065923000008CC Was Brought To You By - Lark                                                                                         06  150                                
ID FAMCHA010401065923065928000005Generic ID - Couch 2*                                                                                                   06  150                                
PRCFAMCHA010401065928065939000011Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010401065939070000000021Prime time open count down                                                                                              06  150                                
PROFAMCHA010401070000070008000008CC Is Brought To You By - Ian **DNU AFTER 09/22**                                                                       06  150                                
PGRFAMCHA010401070008072248002240Adventures of the Gummi Bears; The                Just A Tad Smarter/Too Many Crooks                                   6068607ECC                              
PROFAMCHA010401072248072256000008CC Was Brought To You By - Ian                                                                                          06  150                                
ID FAMCHA010401072256072306000010Generic ID - Family w/dog                                                                                               06  150                                
PROFAMCHA010401072306072336000030Mr. Headmistress - Today @ 12pm                                                                                         02  150                                
PROFAMCHA010401072336072413000037Batter Up - Saturday @ 9pm - BNB GO TO JAPAN                                                                            02  150                                
INTFAMCHA010401072413072815000402MV Disney - A Whole New World (PEBO BRYSON/REGINA                                                                      60688120                                
