SO FAMCHA010301043000043011000011Sign On (oct 1)                                                                                                         06                                     
PROFAMCHA010301043011043019000008CC Is Brought To You By - Ian **DNU AFTER 09/22**                                                                       02  150                                
PGRFAMCHA010301043019045419002400Hello Mrs. Cherrywinkle                           Kitty The Lion                                                C14683A1065607ACC                              
PROFAMCHA010301045419045427000008CC Was Brought To You By - Ian                                                                                          02  150                                
ID FAMCHA010301045427045432000005Generic ID - Fingerpaint                                                                                                06  150                                
ID FAMCHA010301045432045440000008URL(1) - NEWSLETTER                                                                                                     06  150                                
ID FAMCHA010301045440045500000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010301045500045508000008CC Is Brought To You By - Lark **DNU AFTER 09/22**                                                                      02  150                                
PGRFAMCHA010301045508051918002410Busy World Of Richard Scarry; The                 Grand Hotel                                                   P19590 1065607ECC                              
PROFAMCHA010301051918051926000008CC Was Brought To You By - Lark                                                                                         02  150                                
ID FAMCHA010301051926051931000005Generic ID - Bubbles*                                                                                                   06  150                                
ID FAMCHA010301051931051940000009URL(1) - CONTESTS                                                                                                       06  150                                
ID FAMCHA010301051940052000000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010301052000052008000008CC Is Brought To You By - Ian **DNU AFTER 09/22**                                                                       06  150                                
PGRFAMCHA010301052008054430002422Billy The Cat                                     Hubert & The Siamese Siren                                    B27645A1065607ECC                              
PROFAMCHA010301054430054438000008CC Was Brought To You By - Ian                                                                                          06  150                                
ID FAMCHA010301054438054443000005Generic ID - Fingerpaint                                                                                                06  150                                
ID FAMCHA010301054443054503000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010301054503054511000008CC Is Brought To You By - Lark **DNU AFTER 09/22**                                                                      06  150                                
PGRFAMCHA010301054511061130002619Little Lulu Show; The                             Gilbert The Gorilla/Snow Business/The case of the             P22333A1065607ECC                              
PROFAMCHA010301061130061138000008CC Was Brought To You By - Lark                                                                                         06  150                                
ID FAMCHA010301061138061143000005Generic ID - soccer **DO NOT USE**                                                                                      06  150                                
PROFAMCHA010301061143061151000008CC Is Brought To You By - Ian **DNU AFTER 09/22**                                                                       06  150                                
PGRFAMCHA010301061151063551002400Big Garage; The                                   Copy Cars                                                     P21465 1065607ECC                              
PROFAMCHA010301063551063559000008CC Was Brought To You By - Ian                                                                                          06  150                                
ID FAMCHA010301063559063604000005Generic ID - Couch 1*                                                                                                   06  150                                
PGRFAMCHA010301063604065949002345Clarissa                                          The Flu                                                              2068607B                                
ID FAMCHA010301065949065959000010Generic ID - Hula Hoop                                                                                                  06  150                                
PROFAMCHA010301065959070007000008CC Is Brought To You By - Lark **DNU AFTER 09/22**                                                                      06  150                                
PGRFAMCHA010301070007072300002253Franklin                                          Franklin's Fortune Teller/Franklin's Cellar                   P02772A1065607ECC                              
PROFAMCHA010301072300072308000008CC Was Brought To You By - Lark                                                                                         06  150                                
ID FAMCHA010301072308072318000010Generic ID - Family w/dog                                                                                               06  150                                
PROFAMCHA010301072318072418000100Morning Crunch (MARCH2001) - Today @ 9am                                                                                02  150                                
PROFAMCHA010301072418072448000030New Adventures of WTP (MARCH2001) - Coming Up                                                                           06  150                                
INTFAMCHA010301072448072903000415MV Disney - You'll Be In My Heart (PHIL COLLINS)                                                                       60688120                                
PRCFAMCHA010301072903072938000035Little Lulu (MARCH2001) - Today @ 8:30am                                                                               102  150                                
PRCFAMCHA010301072938072950000012Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010301072950073000000010xxMagic of Disney - V2(sky) - KID FEMALE                                                                                06  150                                
PROFAMCHA010301073000073008000008CC Is Brought To You By - Ian **DNU AFTER 09/22**                                                                       06  150                                
PGRFAMCHA010301073008075253002245New Adventures of Winnie the Pooh; The            Friend In Deed/Donkey for a Day                                      6068607ECC                              
PROFAMCHA010301075253075301000008CC Was Brought To You By - Ian                                                                                          06  150                                
ID FAMCHA010301075301075306000005Generic ID - Fingerpaint                                                                                                06  150                                
