SO FAMCHA010201043000043011000011Sign On (oct 1)                                                                                                         06                                     
PROFAMCHA010201043011043016000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201043016045416002400Hello Mrs. Cherrywinkle                           Hiccup-And-Down                                               B18880A1065607ACC                              
ID FAMCHA010201045416045426000010Generic ID - Bubbles                                                                                                    06  150                                
PROFAMCHA010201045426045440000014ALF (Dreams) - Today @ 12pm                                                                                             06  150                                
ID FAMCHA010201045440045500000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010201045500045505000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201045505051915002410Busy World Of Richard Scarry; The                 Ambulance Cake                                                P19586 1065607ECC                              
ID FAMCHA010201051915051925000010Generic ID - Family w/dog                                                                                               06  150                                
PROFAMCHA010201051925051940000015Doug (MARCH2001) - Today @ 4pm                                                                                          06  150                                
ID FAMCHA010201051940052000000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010201052000052005000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201052005054456002451Amazing Animals                                   Builders                                                             60686110CC                              
ID FAMCHA010201054456054506000010Generic ID - Family w/dog                                                                                               06  150                                
PRCFAMCHA010201054506054540000034Hoze Houndz (MARCH2001) - Weekends @ 7:00pm                                                                             06  150                                
ID FAMCHA010201054540054600000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010201054600054605000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201054605061023002418Billy The Cat                                     The Great Purple Nothing                                      B27654A1065607ECC                              
ID FAMCHA010201061023061033000010Generic ID - confetti                                                                                                   06  150                                
ID FAMCHA010201061033061040000007URL(1) - FUNSTUFF                                                                                                       06  150                                
ID FAMCHA010201061040061100000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010201061100061105000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201061105063435002330Little Lulu Show; The                             The Big Egg, The Little Girl Who Never Heard of Gh            A20185A1055607ECC3                             
ID FAMCHA010201063435063440000005Generic ID - Couch 1*                                                                                                   06  150                                
INTFAMCHA010201063440063540000100Richard Scarry (ii) Camping                                                                                     P19592 10656120                                
ID FAMCHA010201063540063600000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010201063600063605000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201063605070005002400Big Garage; The                                   Rain, Rain, Go Away                                           P21471 1065607ECC                              
ID FAMCHA010201070005070010000005Generic ID - Couch 2*                                                                                                   06  150                                
PROFAMCHA010201070010070015000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201070015072308002253Franklin                                          Franklin and the Grump/Franklin's Promise                     P02772A1065607ECC                              
ID FAMCHA010201072308072318000010Generic ID - Family w/dog                                                                                               06  150                                
PROFAMCHA010201072318072418000100Morning Block - Crunch - Today @ 9am                                                                                    06  150                                
PROFAMCHA010201072418072448000030New Adventures of WTP (MARCH2001) - Coming Up                                                                           06  150                                
INTFAMCHA010201072448072910000422MV Disney - True To Your Heart (98 DEGREES/STEVIE                                                                      60688120                                
PRCFAMCHA010201072910072940000030Franklin (MARCH2001) - Today @ 12:30pm                                                                                 106  150                                
PRCFAMCHA010201072940072950000010Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010201072950073000000010xxMagic of Disney - V2(sky) - KID FEMALE                                                                                06  150                                
PROFAMCHA010201073000073005000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201073005075324002319New Adventures of Winnie the Pooh; The            Rabbit Marks The Spot/Good-Bye Mr.Pooh                               6068607ECC                              
ID FAMCHA010201075324075329000005Generic ID - Fingerpaint                                                                                                06  150                                
PRCFAMCHA010201075329075404000035Little Lulu (AUG2000) - Tonight @ 6pm                                                                                  106  150                                
INTFAMCHA010201075404075838000434MV Disney - A Dream Is A Wish Your Heart Makes (LI                                                                     60688120                                
PRCFAMCHA010201075838075914000036Goof Troop (MARCH2001) - Weekends @ 4pm                                                                                 06  150                                
PROFAMCHA010201075914075929000015Doug (MARCH2001) - Today @ 4pm                                                                                          06  150                                
PRCFAMCHA010201075929075940000011Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010201075940080000000020Morning block open play pen                                                                                             06  150                                
PGRFAMCHA010201080000081958001958Art Attack                                        1-051                                                                60686110                                
ID FAMCHA010201081958082008000010Generic ID - Hula Hoop                                                                                                  06  150                                
PROFAMCHA010201082008082108000100Morning Block - Crunch - Today @ 9am                                                                                    06  150                                
PGRFAMCHA010201082108082738000630Richard Scarry (ii) Clean Garage                                                                                P19585 10656150                                
PROFAMCHA010201082738082753000015Doug (MARCH2001) - Today @ 4pm                                                                                          06  150                                
INTFAMCHA010201082753082917000124Bill Nye - R.E.C.Y.C.L.E                                                                                               60688120                                
PROFAMCHA010201082917082941000024ALF - Today @ Noon                                                                                                      06  150                                
PRCFAMCHA010201082941082950000009Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010201082950083000000010xxMagic of Disney - V2(sky) - KID MALE                                                                                  06  150                                
PROFAMCHA010201083000083005000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201083005085313002308Disney Presents Bill Nye the Science Guy          Rivers and Streams                                                   60686110CC                              
ID FAMCHA010201085313085318000005Generic ID - Marbles                                                                                                    06  150                                
PROFAMCHA010201085318085403000045PB&J Otter (MARCH2001) - Coming Up                                                                                     206  150                                
PROFAMCHA010201085403085419000016ALF (Description) - Today @ 12pm                                                                                        06  150                                
INTFAMCHA010201085419085830000411Art Attack - Scuba Divers                                                                                              60686120                                
PRCFAMCHA010201085830085900000030Franklin (MARCH2001) - Today @ 12:30pm                                                                                 106  150                                
PROFAMCHA010201085900090000000100Morning Block - Crunch - PB&J/BUSY/MADLEINE                                                                             06  150                                
PROFAMCHA010201090000090005000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201090005092335002330PB&J Otter                                        Soccer Surprise/Baking Blues                                        A6068607ECC                              
ID FAMCHA010201092335092345000010Generic ID - Pink inner tube                                                                                            06  150                                
PROFAMCHA010201092345092400000015Doug (MARCH2001) - Today @ 4pm                                                                                          06  150                                
PROFAMCHA010201092400092500000100Morning Block - Crunch - BUSY/MADELINE/OOTB                                                                             06  150                                
PROFAMCHA010201092500092505000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201092505094915002410Busy World Of Richard Scarry; The                 Sgt. Murphy's Deputy                                          P19587 1065607ECC                              
ID FAMCHA010201094915094925000010Generic ID - Ring around the rosie                                                                                      06  150                                
PRCFAMCHA010201094925094955000030Madeline (AUG2000) - Coming Up                                                                                         106  150                                
PRCFAMCHA010201094955095025000030Franklin (MARCH2001) - Today @ 12:30pm                                                                                 106  150                                
INTFAMCHA010201095025095145000120Bill Nye - Whether the Weather                                                                                         60688120                                
PROFAMCHA010201095145095200000015Doug (MARCH2001) - Today @ 4pm                                                                                          06  150                                
PROFAMCHA010201095200095300000100Morning Block - Crunch - MADELINE/OOTB/BILLY                                                                            06  150                                
PROFAMCHA010201095300095305000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201095305101552002247Madeline                                          Madeline and the Big Cheese                                          6068607ECC                              
ID FAMCHA010201101552101602000010Generic ID - soccer **DO NOT USE**                                                                                      06  150                                
PRCFAMCHA010201101602101632000030Out of the Box (AUG2000) - Coming Up                                                                                   106  150                                
PROFAMCHA010201101632101646000014ALF (Dreams) - Today @ 12pm                                                                                             06  150                                
ID FAMCHA010201101646101700000014Web Blast - Female                                                                                                      06  150                                
PROFAMCHA010201101700101800000100Morning Block - Crunch - OOTB/BILLY/GOOF                                                                                06  150                                
PGRFAMCHA010201101800104005002205Out of the Box                                    Tall and Small                                                       60686110                                
ID FAMCHA010201104005104010000005Generic ID - soccer **DO NOT USE**                                                                                      06  150                                
PROFAMCHA010201104010104025000015Doug (MARCH2001) - Today @ 4pm                                                                                          06  150                                
INTFAMCHA010201104025104129000104Bill Nye - Let's Talk About Stress                                                                                     60688120                                
PROFAMCHA010201104129104159000030Pepper Ann (MARCH2001) - Today @ 4:30pm                                                                                 06  150                                
PROFAMCHA010201104159104259000100Morning Block - Crunch - BILLY/GOOF/ALADDIN                                                                             06  150                                
PROFAMCHA010201104259104304000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201104304110724002420Billy The Cat                                     Born To Be A Wildcat                                          B27655A1065607ECC                              
ID FAMCHA010201110724110731000007Generic ID - Whisper*                                                                                                   06  150                                
PRCFAMCHA010201110731110807000036Goof Troop (MARCH2001) - Coming Up                                                                                      06  150                                
PROFAMCHA010201110807110837000030Pepper Ann (MARCH2001) - Today @ 4:30pm                                                                                 06  150                                
PROFAMCHA010201110837110850000013Buzz Lightyear (DISNEY'S ONE TOO) - Today @ 5:30pm                                                                      06  150                                
PROFAMCHA010201110850110950000100Morning Block - Crunch - GOOF/ALADDIN/RECAP                                                                             06  150                                
ID FAMCHA010201110950111000000010xxMagic of Disney - V3(water) - KID FEMALE                                                                              06  150                                
PROFAMCHA010201111000111005000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201111005113252002247Goof Troop                                        For Pete's Sake                                                     A6068607ECC                              
ID FAMCHA010201113252113302000010Generic ID - Bubbles                                                                                                    06  150                                
PROFAMCHA010201113302113323000021Buzz Lightyear (DISNEY'S ONE TOO) - Today @ 5:30pm                                                                      06  150                                
PROFAMCHA010201113323113350000027Recess (MARCH2001) - Today @ 5pm                                                                                        06  150                                
PROFAMCHA010201113350113450000100Morning Block - Crunch - ALADDIN/RECAP                                                                                  06  150                                
ID FAMCHA010201113450113500000010xxMagic of Disney - V3(water) - KID MALE                                                                                06  150                                
PROFAMCHA010201113500113505000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201113505115746002241Disney's Aladdin                                  Power To The Parrot                                                  6068607ECC                              
ID FAMCHA010201115746115751000005Generic ID - Bubbles*                                                                                                   06  150                                
PROFAMCHA010201115751115851000100Morning Block - Crunch - RECAP - REBOUND COMING UP                                                                      06  150                                
PROFAMCHA010201115851115905000014ALF (Dreams) - Coming Up                                                                                                06  150                                
PRCFAMCHA010201115905115945000040Famous Jett Jackson - Weekends @ 9:30am                                                                                106  150                                
ID FAMCHA010201115945120000000015Afternoon block pinball open **DO NOT USE**                                                                             06  150                                
PROFAMCHA010201120000120005000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010201120005122133002128ALF                                               Weird Science                                                       A2068807BCC                              
ID FAMCHA010201122133122148000015Generic ID - confetti                                                                                                   06  150                                
PROFAMCHA010201122148122223000035Breakfast With Einstein (FEB3) - Saturday @ 9pm                                                                         06  150                                
PRCFAMCHA010201122223122253000030Franklin (MARCH2001) - Coming Up                                                                                       106  150                                
PRCFAMCHA010201122253122338000045No Boundaries Contest (FEB04) - Sunday @ 12pm                                                                          106  150                                
PROFAMCHA010201122338122438000100Afternoon Block - Rebound - Today @ 1pm                                                                                 06  150                                
INTFAMCHA010201122438122831000353Art Attack - Kids In Snow (WINTER)                                                                                     60686120                                
PRCFAMCHA010201122831122906000035Little Lulu (AUG2000) - Tonight @ 6pm                                                                                  106  150                                
PROFAMCHA010201122906122935000029Wizard of Oz - Sunday @ 1:35pm                                                                                          06  150                                
PRCFAMCHA010201122935122945000010Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010201122945123000000015Afternoon block pinball open **DO NOT USE**                                                                             06  150                                
PROFAMCHA010201123000123005000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
