SO FAMCHA031001043000043011000011Sign On (oct 1)                                                                                                         06                                     
PROFAMCHA031001043011043020000009CC Disclaimer - FAST - Family (:08-:10)                                                                                 06  150                                
SGTFAMCHA031001043020045313002253Franklin                                          Franklin Says Sorry/Franklin & The Fire                       B13649A1065607ECC                              
SGTFAMCHA031001043020045313002253Franklin                                          Franklin Says Sorry/Franklin & The Fire                       B13649A1065607ECC                              
PROFAMCHA031001045313045329000016PS - 01(PH) - WTP/KATIE/FRANKLIN (:14-:16)                                                                              06  150                                
ID FAMCHA031001045329045344000015PS Playhouse AM Block Open (:10-:15)                                                                                    06  150                                
PROFAMCHA031001045344045353000009CC Disclaimer - FAST - Family.ca (:08-:10)                                                                              06  150                                
SGTFAMCHA031001045353051712002319New Adventures of Winnie the Pooh; The            Rabbit Marks The Spot/Good-Bye Mr.Pooh                               6068607ECC                              
PROFAMCHA031001051712051728000016PS - 02(PH) - KATIE/FRANKLIN/RIPLEY (:14-:16)                                                                           06  150                                
ID FAMCHA031001051728051743000015PS Playhouse AM Block Open (:10-:15)                                                                                    06  150                                
PROFAMCHA031001051743051753000010CC Disclaimer - FAST - Generic (:08-:10)                                                                                06  150                                
SGTFAMCHA031001051753054428002635Katie And Orbie                                   The Attic/The Zoo/Katie Up A Tree                             C12449A1065607ECC                              
SGTFAMCHA031001051753054428002635Katie And Orbie                                   The Attic/The Zoo/Katie Up A Tree                             C12449A1065607ECC                              
PROFAMCHA031001054428054444000016PS - 03(PH) - FRANKLIN/RIPLEY/HOZE (:14-:16)                                                                            06  150                                
ID FAMCHA031001054444054459000015PS Playhouse AM Block Open (:10-:15)                                                                                    06  150                                
PROFAMCHA031001054459054508000009CC Disclaimer - FAST - Family (:08-:10)                                                                                 06  150                                
SGTFAMCHA031001054508060801002253Franklin                                          Franklin's Garden/Franklin Runs Away                          B13650A1065607ECC                              
SGTFAMCHA031001054508060801002253Franklin                                          Franklin's Garden/Franklin Runs Away                          B13650A1065607ECC                              
PROFAMCHA031001060801060817000016PS - 04(PH) - RIPLEY/HOZE/KNIGHT (:14-:16)                                                                              06  150                                
ID FAMCHA031001060817060832000015PS Playhouse AM Block Open (:10-:15)                                                                                    06  150                                
PROFAMCHA031001060832060841000009CC Disclaimer - FAST - Family.ca (:08-:10)                                                                              06  150                                
SGTFAMCHA031001060841063311002430Ripley's Believe It Or Not!                       The Lama's Skull                                              B21803 1065607ECC                              
