SO FAMCHA010101043000043011000011Sign On (oct 1)                                                                                                         06                                     
PROFAMCHA010101043011043016000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010101043016045416002400Hello Mrs. Cherrywinkle                           Mrs. C TV                                                     B18888A1065607ACC                              
ID FAMCHA010101045416045426000010Generic ID - Bubbles                                                                                                    06  150                                
PROFAMCHA010101045426045441000015Doug (MARCH2001) - Today @ 4pm                                                                                          06  150                                
ID FAMCHA010101045441045501000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010101045501045506000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010101045506051916002410Busy World Of Richard Scarry; The                 The Busiest Firefighters Ever/Manuel Of Mexico                B10182 1065607ECC                              
ID FAMCHA010101051916051921000005Generic ID - Bubbles*                                                                                                   06  150                                
PROFAMCHA010101051921051939000018Mickey Mouseworks - Weekends @ 4:30pm                                                                                   06  150                                
ID FAMCHA010101051939051959000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010101051959052004000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010101052004054505002501Amazing Animals                                   Farm Animals                                                         60686110CC                              
ID FAMCHA010101054505054510000005Generic ID - Fingerpaint                                                                                                06  150                                
PROFAMCHA010101054510054540000030Mickey Mouseworks - Weekends @ 4:30pm                                                                                   06  150                                
ID FAMCHA010101054540054600000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010101054600054605000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010101054605061025002420Billy The Cat                                     Born To Be A Wildcat                                          B27655A1065607ECC                              
ID FAMCHA010101061025061032000007Generic ID - Whisper*                                                                                                   06  150                                
ID FAMCHA010101061032061041000009URL(1) - CONTESTS                                                                                                       06  150                                
ID FAMCHA010101061041061101000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010101061101061106000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010101061106063437002331Little Lulu Show; The                             Involuntary Volunteers, Malpractice Makes Perfect,            A20206A1055607ECC3                             
ID FAMCHA010101063437063442000005Generic ID - Couch 1*                                                                                                   06  150                                
PROFAMCHA010101063442063542000100Morning Block - Crunch - Today @ 9am                                                                                    06  150                                
ID FAMCHA010101063542063602000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010101063602063607000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010101063607070007002400Big Garage; The                                   The Latest Style                                              P21474 1065607ECC                              
ID FAMCHA010101070007070012000005Generic ID - Couch 2*                                                                                                   06  150                                
PROFAMCHA010101070012070017000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010101070017072310002253Franklin                                          Good Deeds/Submarine                                          A38147A1065607ECC                              
ID FAMCHA010101072310072320000010Generic ID - Family w/dog                                                                                               06  150                                
PROFAMCHA010101072320072420000100Morning Block - Crunch - Today @ 9am                                                                                    06  150                                
PROFAMCHA010101072420072450000030New Adventures of WTP (MARCH2001) - Coming Up                                                                           06  150                                
INTFAMCHA010101072450072910000420MV Disney - Someday (ALL 4 ONE)                                                                                        60688120                                
PROFAMCHA010101072910072940000030Mickey Mouseworks - Weekends @ 4:30pm                                                                                   06  150                                
PRCFAMCHA010101072940072950000010Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010101072950073000000010xxMagic of Disney - V2(sky) - KID FEMALE                                                                                06  150                                
PROFAMCHA010101073000073005000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010101073005075244002239New Adventures of Winnie the Pooh; The            The Good, The Bad, and The Tigger                                    6068607ECC                              
ID FAMCHA010101075244075249000005Generic ID - Fingerpaint                                                                                                06  150                                
PRCFAMCHA010101075249075319000030Franklin (MARCH2001) - Today @ 12:30pm                                                                                 106  150                                
PROFAMCHA010101075319075349000030New Adventures of WTP (MARCH2001) - Weekdays @ 7:3                                                                      06  150                                
INTFAMCHA010101075349075831000442Art Attack - Ice Skaters (WINTER)                                                                                      60686120                                
PROFAMCHA010101075831075846000015Doug (MARCH2001) - Today @ 4pm                                                                                          06  150                                
PROFAMCHA010101075846075916000030Mickey Mouseworks - Weekends @ 4:30pm                                                                                   06  150                                
PROFAMCHA010101075916075940000024ALF - Today @ Noon                                                                                                      06  150                                
ID FAMCHA010101075940080000000020Morning block open play pen                                                                                             06  150                                
PGRFAMCHA010101080000081459001459Art Attack                                        1-024                                                                60686110                                
ID FAMCHA010101081459081509000010Generic ID - Hula Hoop                                                                                                  06  150                                
PROFAMCHA010101081509081609000100Morning Block - Crunch - Today @ 9am                                                                                    06  150                                
ID FAMCHA010101081609081619000010Holiday Web Throw                                                                                                       06  150                                
PGRFAMCHA010101081619082908001249Donald And The Wheel                                                                                                   60686150                                
PRCFAMCHA010101082908082938000030Franklin (MARCH2001) - Today @ 12:30pm                                                                                 106  150                                
PRCFAMCHA010101082938082950000012Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010101082950083000000010xxMagic of Disney - V2(sky) - KID MALE                                                                                  06  150                                
PROFAMCHA010101083000083005000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010101083005085313002308Disney Presents Bill Nye the Science Guy          Oceanography                                                         60686110CC                              
ID FAMCHA010101085313085320000007Generic ID - Whisper*                                                                                                   06  150                                
PROFAMCHA010101085320085405000045PB&J Otter (MARCH2001) - Coming Up                                                                                     206  150                                
PROFAMCHA010101085405085420000015ALF (Lucky) - Today @ Noon                                                                                              02  150                                
INTFAMCHA010101085420085830000410MV Disney - Colours Of The Wind (POCAHONTAS)                                                                           60688120                                
PRCFAMCHA010101085830085900000030Franklin (MARCH2001) - Today @ 12:30pm                                                                                 106  150                                
PROFAMCHA010101085900090000000100Morning Block - Crunch - PB&J/BUSY/MADLEINE                                                                             06  150                                
PROFAMCHA010101090000090005000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010101090005092228002223PB&J Otter                                        Otter In The Water/All Popped Out                                   A6068607ECC                              
ID FAMCHA010101092228092233000005Generic ID - Couch 2*                                                                                                   06  150                                
PRCFAMCHA010101092233092303000030Franklin (MARCH2001) - Today @ 12:30pm                                                                                 106  150                                
PROFAMCHA010101092303092330000027Recess (MARCH2001) - Today @ 5pm                                                                                        06  150                                
PROFAMCHA010101092330092345000015ALF (Lucky) - Today @ Noon                                                                                              06  150                                
PROFAMCHA010101092345092400000015Doug (MARCH2001) - Today @ 4pm                                                                                          06  150                                
PROFAMCHA010101092400092500000100Morning Block - Crunch - BUSY/MADELINE/OOTB                                                                             06  150                                
PROFAMCHA010101092500092505000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
PGRFAMCHA010101092505094915002410Busy World Of Richard Scarry; The                 Mr. Raccoon's Different Day/Mario, The Venetian               B10183 1065607ECC                              
ID FAMCHA010101094915094925000010Generic ID - Ring around the rosie                                                                                      06  150                                
PRCFAMCHA010101094925094955000030Madeline (AUG2000) - Coming Up                                                                                         106  150                                
PROFAMCHA010101094955095010000015Doug (MARCH2001) - Today @ 4pm                                                                                          06  150                                
INTFAMCHA010101095010095130000120Bill Nye - Whether the Weather                                                                                         60688120                                
PROFAMCHA010101095130095200000030Pepper Ann (MARCH2001) - Today @ 4:30pm                                                                                 06  150                                
PROFAMCHA010101095200095300000100Morning Block - Crunch - MADELINE/OOTB/BILLY                                                                            06  150                                
PGRFAMCHA010101095300101536002236Madeline                                          Madeline at the Louvre                                               6068607E                                
ID FAMCHA010101101536101546000010Generic ID - soccer **DO NOT USE**                                                                                      06  150                                
PRCFAMCHA010101101546101616000030Out of the Box (AUG2000) - Coming Up                                                                                   106  150                                
PROFAMCHA010101101616101646000030Pepper Ann (MARCH2001) - Today @ 4:30pm                                                                                 06  150                                
PROFAMCHA010101101646101701000015ALF (Lucky) - Today @ Noon                                                                                              06  150                                
PROFAMCHA010101101701101801000100Morning Block - Crunch - OOTB/BILLY/GOOF                                                                                06  150                                
PGRFAMCHA010101101801104051002250Out of the Box                                    Tube Town                                                            60686110                                
ID FAMCHA010101104051104056000005Generic ID - soccer **DO NOT USE**                                                                                      06  150                                
PROFAMCHA010101104056104126000030Pepper Ann (MARCH2001) - Today @ 4:30pm                                                                                 06  150                                
ID FAMCHA010101104126104133000007URL(1) - FUNSTUFF                                                                                                       06  150                                
PROFAMCHA010101104133104200000027Recess (MARCH2001) - Today @ 5pm                                                                                        06  150                                
PROFAMCHA010101104200104300000100Morning Block - Crunch - BILLY/GOOF/ALADDIN                                                                             06  150                                
PROFAMCHA010101104300104305000005CC Disclaimer (oct) **DO NOT USE**                                                                                      06  150                                
